family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
Transcoding/length	simdutf::convert_utf32_to_utf16_with_errors	result (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3435	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF16WithErrors	func ConvertUTF32ToUTF16WithErrors(input []uint32, dst []uint16) Result	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:3435; native-endian delegate to simdutf::convert_utf32_to_utf16le_with_errors or simdutf::convert_utf32_to_utf16be_with_errors	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_utf32_to_utf16le_with_errors_tests.cpp	not_applicable: no convert_utf32_to_utf16_with_errors occurrence under fuzz at pinned tree	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_utf16le_with_errors	result (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3470	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF16LEWithErrors	func ConvertUTF32ToUTF16LEWithErrors(input []uint32, dst []uint16) Result	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToUTF16LEWithErrors)	benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_utf16be_with_errors	result (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3506	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF16BEWithErrors	func ConvertUTF32ToUTF16BEWithErrors(input []uint32, dst []uint16) Result	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf32_to_utf16be_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToUTF16BEWithErrors)	benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf32_to_utf16	size_t (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3539	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF32ToUTF16	func ConvertValidUTF32ToUTF16(input []uint32, dst []uint16) int	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:3539; native-endian delegate to simdutf::convert_valid_utf32_to_utf16le or simdutf::convert_valid_utf32_to_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/convert_valid_utf32_to_utf16be_tests.cpp;tests/convert_valid_utf32_to_utf16le_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf32_to_utf16le	size_t (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3574	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF32ToUTF16LE	func ConvertValidUTF32ToUTF16LE(input []uint32, dst []uint16) int	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf32_to_utf16le_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF32ToUTF16LE)	benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf32_to_utf16be	size_t (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3608	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF32ToUTF16BE	func ConvertValidUTF32ToUTF16BE(input []uint32, dst []uint16) int	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf32_to_utf16be_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF32ToUTF16BE)	benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
UTF-16	simdutf::change_endianness_utf16	void (const char16_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3644	SIMDUTF_FEATURE_UTF16	mapped one-to-one	ChangeEndiannessUTF16	func ChangeEndiannessUTF16(input, dst []uint16)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	no return	not_applicable	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	input and output may be identical as documented	include/simdutf/scalar/utf16.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/helpers/compiletime_conversions.h;tests/helpers/random_utf16.cpp;tests/null_safety_tests.cpp	fuzz/misc.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for ChangeEndiannessUTF16)	not_applicable: no change_endianness_utf16 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_utf32	size_t (const char32_t *, size_t) noexcept	include/simdutf/implementation.h:3676	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	UTF8LengthFromUTF32	func UTF8LengthFromUTF32(input []uint32) int	UTF-32 code units ([]uint32)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/utf32.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/basic_fuzzer.cpp;tests/convert_utf32_to_utf8_tests.cpp;tests/convert_utf32_to_utf8_with_errors_tests.cpp;tests/convert_valid_utf32_to_utf8_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF8LengthFromUTF32)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf16_length_from_utf32	size_t (const char32_t *, size_t) noexcept	include/simdutf/implementation.h:3707	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	UTF16LengthFromUTF32	func UTF16LengthFromUTF32(input []uint32) int	UTF-32 code units ([]uint32)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/utf32.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/basic_fuzzer.cpp;tests/convert_utf32_to_utf16be_tests.cpp;tests/convert_utf32_to_utf16be_with_errors_tests.cpp;tests/convert_utf32_to_utf16le_tests.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp;tests/convert_valid_utf32_to_utf16be_tests.cpp;tests/convert_valid_utf32_to_utf16le_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF16LengthFromUTF32)	benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf32_length_from_utf16	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3740	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	UTF32LengthFromUTF16	func UTF32LengthFromUTF16(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:3740; native-endian delegate to simdutf::utf32_length_from_utf16le or simdutf::utf32_length_from_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/basic_fuzzer.cpp;tests/convert_utf16be_to_utf32_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/convert_utf16le_to_utf32_tests.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/convert_valid_utf16be_to_utf32_tests.cpp;tests/convert_valid_utf16le_to_utf32_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf32_length_from_utf16le	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3773	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	UTF32LengthFromUTF16LE	func UTF32LengthFromUTF16LE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/basic_fuzzer.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/convert_utf16le_to_utf32_tests.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp;tests/convert_valid_utf16be_to_utf32_tests.cpp;tests/convert_valid_utf16le_to_utf32_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF32LengthFromUTF16LE)	benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf32_length_from_utf16be	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3807	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	UTF32LengthFromUTF16BE	func UTF32LengthFromUTF16BE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16be_to_utf32_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF32LengthFromUTF16BE)	not_applicable: no utf32_length_from_utf16be occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
UTF-16	simdutf::count_utf16	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3842	SIMDUTF_FEATURE_UTF16	mapped one-to-one	CountUTF16	func CountUTF16(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	Unicode scalar count	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:3842; native-endian delegate to simdutf::count_utf16le or simdutf::count_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/count_utf16be.cpp;tests/count_utf16le.cpp;tests/null_safety_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/conversion.cpp	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp	planned	future-upstream-api	not_applicable
UTF-16	simdutf::count_utf16le	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3873	SIMDUTF_FEATURE_UTF16	mapped one-to-one	CountUTF16LE	func CountUTF16LE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	Unicode scalar count	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/count_utf16le.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for CountUTF16LE)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp	planned	future-upstream-api	not_applicable
UTF-16	simdutf::count_utf16be	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3904	SIMDUTF_FEATURE_UTF16	mapped one-to-one	CountUTF16BE	func CountUTF16BE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	Unicode scalar count	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/count_utf16be.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_utf_16_test.go (planned direct scalar-differential target for CountUTF16BE)	not_applicable: no count_utf16be occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
